Dataset,# Training,Classifier,Balancing,FeatureSelection,Precision,Recall,ROC Area,Kappa
AVRO,1,RF,No sampling,False,0.9431664411366711,1.0,0.8810719409715105,0.0
AVRO,1,IBk,No sampling,False,0.9586834733893558,0.9820659971305595,0.7891601762656282,0.3453694134520068
AVRO,1,NB,No sampling,False,0.967896502156205,0.9660449545671927,0.8354151958886535,0.42791590001346363
AVRO,2,RF,No sampling,False,0.9677187948350072,0.9832361516034985,0.9281183515877394,0.6357344622564494
AVRO,2,IBk,No sampling,False,0.9772477064220183,0.9704810495626822,0.9046002088093925,0.6650450857410914
AVRO,2,NB,No sampling,False,0.9819217434373452,0.9633138969873664,0.918288186145329,0.6717827113653653
AVRO,3,RF,No sampling,False,0.9598108747044918,1.0,0.8707686335403727,0.6811041634894006
AVRO,3,IBk,No sampling,False,0.9598108747044918,1.0,0.8733806088027415,0.6811041634894006
AVRO,3,NB,No sampling,False,0.9548387096774194,0.9963875205254515,0.8742567704243116,0.6095015211794986
AVRO,4,RF,No sampling,False,0.9848714069591528,0.9127234490010515,0.905544004715929,0.5600392676869427
AVRO,4,IBk,No sampling,False,0.9788602941176471,0.9332281808622502,0.8592487041816694,0.582316297270091
AVRO,4,NB,No sampling,False,0.9804938271604938,0.9279121392686062,0.8753725625220543,0.5767544931645239
AVRO,5,RF,No sampling,False,0.9776319713689233,0.9355022831050228,0.8796941590563165,0.5572646241363792
AVRO,5,IBk,No sampling,False,0.974696504314758,0.9509132420091324,0.8623181839802131,0.5861984512330294
AVRO,5,NB,No sampling,False,0.97643362136685,0.9459665144596652,0.8659403010316252,0.582279802210132
AVRO,6,RF,No sampling,False,0.9651410955655679,0.9795427196149218,0.8087323076041487,0.5922676140005678
AVRO,6,IBk,No sampling,False,0.9656534226902824,0.9709987966305655,0.7608150141825684,0.5615819560015577
AVRO,6,NB,No sampling,False,0.9525682554372975,0.6605695948656237,0.6568941846694554,0.09256646787159263
AVRO,7,RF,No sampling,False,0.9608981804103756,1.0,0.7614240405314399,0.6595660670391207
AVRO,7,IBk,No sampling,False,0.9621167740675649,0.9925463336019339,0.7380969064218897,0.6341649582047697
AVRO,7,NB,No sampling,False,0.9636327503974563,0.9768331990330379,0.7792231820043659,0.5783394618805763
AVRO,8,RF,No sampling,False,0.9664335664335665,0.9730681218095406,0.8334788225068612,0.620953418029974
AVRO,8,IBk,No sampling,False,0.9594070499008877,0.979757085020243,0.7238770165004929,0.5838293057070373
AVRO,8,NB,No sampling,False,0.9635002063800931,0.9587513935340022,0.7763459831860405,0.5438518339297383
AVRO,9,RF,No sampling,False,0.9612991349218394,1.0,0.8105155983025744,0.6932276429296043
AVRO,9,IBk,No sampling,False,0.9627271315421649,0.9786864540574677,0.7755573527640879,0.6079484555490142
AVRO,9,NB,No sampling,False,0.9601506118606841,0.9662140827281339,0.7566925554717608,0.5369963878138444
AVRO,10,RF,No sampling,False,0.9637547784227666,1.0,0.8863433076659223,0.8094110065935122
AVRO,10,IBk,No sampling,False,0.9659188339525578,0.9930218892316732,0.8674805795428554,0.7947595117912484
AVRO,10,NB,No sampling,False,0.9676364346382895,0.9707164193722149,0.8624882265894032,0.7242775879765263
AVRO,11,RF,No sampling,False,0.9659696064423952,1.0,0.8798524532576988,0.8124494466246533
AVRO,11,IBk,No sampling,False,0.9547935529441983,0.999663842947425,0.751993153027375,0.733119712226148
AVRO,11,NB,No sampling,False,0.9556602950161474,0.9814889516382054,0.7882562947217403,0.67031479780563
AVRO,12,RF,No sampling,False,0.9645141065830721,0.9541056809724634,0.8805614659466061,0.6260384243254181
AVRO,12,IBk,No sampling,False,0.9690010040160643,0.9577028032746217,0.8729080396160526,0.6643284556666618
AVRO,12,NB,No sampling,False,0.969878501518731,0.9505499049036633,0.866642944118033,0.6471801684566687
AVRO,13,RF,No sampling,False,0.9622950819672131,0.9466651307453059,0.8861818537185978,0.5795882887913558
AVRO,13,IBk,No sampling,False,0.9644142343062775,0.9724686096071881,0.878269414573187,0.6755796675224321
AVRO,13,NB,No sampling,False,0.9650483945306498,0.9647890028030565,0.8598908194916813,0.653303522816947
AVRO,14,RF,No sampling,False,0.9714702207413578,1.0,0.8915276201317358,0.8240025879902356
AVRO,14,IBk,No sampling,False,0.9739972628697757,0.9916398713826367,0.8893843790308775,0.8020494991270152
AVRO,14,NB,No sampling,False,0.974368077250781,0.9805644873168989,0.8846338995506678,0.7561518428307166
AVRO,1,RF,No sampling,True,0.9431664411366711,1.0,0.8676641388262623,0.0
AVRO,1,IBk,No sampling,True,0.9431664411366711,1.0,0.8453576552572248,0.0
AVRO,1,NB,No sampling,True,0.9533487297921478,0.9870875179340028,0.8473598111331253,0.25620016670074136
AVRO,2,RF,No sampling,True,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,IBk,No sampling,True,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,NB,No sampling,True,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,3,RF,No sampling,True,0.9598108747044918,1.0,0.7690217391304348,0.6811041634894006
AVRO,3,IBk,No sampling,True,0.9598108747044918,1.0,0.7970610676804455,0.6811041634894006
AVRO,3,NB,No sampling,True,0.9598108747044918,1.0,0.7929462352157255,0.6811041634894006
AVRO,4,RF,No sampling,True,0.9848714069591528,0.9127234490010515,0.88060414874295,0.5600392676869427
AVRO,4,IBk,No sampling,True,0.9839864355689525,0.9153522607781283,0.8813599321288595,0.5621140732936124
AVRO,4,NB,No sampling,True,0.9719500244977952,0.9270942867157378,0.8657695071995808,0.5202285103035884
AVRO,5,RF,No sampling,True,0.9761762954139369,0.9355022831050228,0.8333737633181126,0.5471047987225813
AVRO,5,IBk,No sampling,True,0.9761762954139369,0.9355022831050228,0.8341567969939118,0.5471047987225813
AVRO,5,NB,No sampling,True,0.9637716162689596,0.9490106544901066,0.8236042406561813,0.49209707573335304
AVRO,6,RF,No sampling,True,0.9618055555555556,1.0,0.7544642857142857,0.657258819856385
AVRO,6,IBk,No sampling,True,0.9618055555555556,1.0,0.7544642857142857,0.657258819856385
AVRO,6,NB,No sampling,True,0.9618055555555556,1.0,0.7544642857142857,0.657258819856385
AVRO,7,RF,No sampling,True,0.9608981804103756,1.0,0.7560386473429952,0.6595660670391207
AVRO,7,IBk,No sampling,True,0.9608981804103756,1.0,0.7560386473429952,0.6595660670391207
AVRO,7,NB,No sampling,True,0.9608981804103756,1.0,0.7560386473429952,0.6595660670391207
AVRO,8,RF,No sampling,True,0.966184416942653,0.9757085020242915,0.8331486893645759,0.629464018695966
AVRO,8,IBk,No sampling,True,0.9569901667379221,0.9850378454497447,0.6980026174352765,0.5813821442287661
AVRO,8,NB,No sampling,True,0.9618204210896721,0.9622719004870035,0.7665072849608372,0.5413701848426339
AVRO,9,RF,No sampling,True,0.9612991349218394,1.0,0.7759226713532513,0.6932276429296043
AVRO,9,IBk,No sampling,True,0.9612991349218394,1.0,0.7759226713532513,0.6932276429296043
AVRO,9,NB,No sampling,True,0.9612991349218394,1.0,0.7759226713532513,0.6932276429296043
AVRO,10,RF,No sampling,True,0.9637547784227666,1.0,0.8527042577675489,0.8094110065935122
AVRO,10,IBk,No sampling,True,0.9637547784227666,1.0,0.8527042577675489,0.8094110065935122
AVRO,10,NB,No sampling,True,0.9637547784227666,1.0,0.8527042577675489,0.8094110065935122
AVRO,11,RF,No sampling,True,0.9659696064423952,1.0,0.8541202672605791,0.8124494466246533
AVRO,11,IBk,No sampling,True,0.9659696064423952,1.0,0.8541202672605791,0.8124494466246533
AVRO,11,NB,No sampling,True,0.9659696064423952,1.0,0.8541202672605791,0.8124494466246533
AVRO,12,RF,No sampling,True,0.9679433305318765,1.0,0.8573717948717948,0.8178490308369841
AVRO,12,IBk,No sampling,True,0.9679433305318765,1.0,0.8573717948717948,0.8178490308369841
AVRO,12,NB,No sampling,True,0.9679045942052185,1.0,0.8573717948717948,0.8175887752476296
AVRO,13,RF,No sampling,True,0.9622950819672131,0.9466651307453059,0.8083527172589091,0.5795882887913558
AVRO,13,IBk,No sampling,True,0.9620201310861424,0.9468379218983988,0.8083595037966843,0.5783320131213463
AVRO,13,NB,No sampling,True,0.9531903464681732,0.9539223591752102,0.8170909387144296,0.5388892383456673
AVRO,14,RF,No sampling,True,0.9714702207413578,1.0,0.8606307222787386,0.8240025879902356
AVRO,14,IBk,No sampling,True,0.971450898671529,0.9993033226152197,0.8681789101761019,0.8204342562666603
AVRO,14,NB,No sampling,True,0.9722357695255347,0.9971061093247588,0.8660312365107385,0.8154033540971959
